text_id,en,cn,ru
"resource.weaponry.acquire","Workshops, Armories, Advanced Weapon Factories","工作坊、兵工厂、高级武器工厂","Мастерские, Оружейные, Продвинутые оружейные заводы"
"resource.xenotech.name","Xeno-Tech","异形科技","Ксенотехнологии"
"resource.xenotech.desc","The results of research on alien technology (with high risks).","对异形技术的研究成果（风险较高）","Результаты исследований инопланетных технологий (с высокими рисками)."
"resource.xenotech.acquire","Laboratories, Research Institutes, STC Research Institutes","实验室、研究所、STC研究所","Лаборатории, Исследовательские институты, Исследовательские институты STC"
"resource.relics.name","Relics","圣物","Реликвии"
"resource.relics.desc","Ancient artifacts containing the power of the Emperor.","蕴含帝皇力量的古物","Древние артефакты, содержащие силу Императора."
"resource.relics.acquire","Events, Purchases","事件、购买","События, Покупки"
"resource.stcfragments.name","STC Fragments","STC碎片","Фрагменты STC"
"resource.stcfragments.desc","Fragments of lost technology templates.","失落的科技模板碎片","Фрагменты утерянных технологических шаблонов."
"resource.stcfragments.acquire","Events, Purchases","事件、购买","События, Покупки"
"resource.noctilith.name","Noctilith","黑石结晶","Ноктилит"
"resource.noctilith.desc","A rare mineral with anti-psychic properties.","具有反灵能特性的稀有矿物","Редкий минерал с антипсихическими свойствами."
"resource.noctilith.acquire","Events, Purchases","事件、购买","События, Покупки"
"building.adamantium_mine.name","Adamantium Mine","精金矿场","Адамантиевая шахта"
"building.adamantium_mine.desc","Basic facility for extracting adamantium.","开采精金矿的基础设施","Базовое сооружение для добычи адамантия."
"building.plasteel_mine.name","Plasteel Mine","塑钢矿场","Пласталевая шахта"
"building.plasteel_mine.desc","Industrial facility for producing plasteel.","生产塑钢的工业设施","Промышленное сооружение для производства пластали."
"building.ceramite_mine.name","Ceramite Mine","陶钢矿场","Керамитовая шахта"
"building.ceramite_mine.desc","Basic building for producing ceramite.","出产陶钢的基础建筑","Базовое здание для производства керамита."
"building.promethium_refinery.name","Promethium Refinery","钷素提炼厂","Прометиевый завод"
"building.promethium_refinery.desc","Facility for refining crude oil into promethium.","将原油提炼为钷素的设施","Сооружение для переработки сырой нефти в прометий."
"building.promethazine_refinery.name","Promethazine Refinery","燃素精炼厂","Прометазиновый завод"
"building.promethazine_refinery.desc","Basic building for refining promethazine.","提炼燃素的基础建筑","Базовое здание для переработки прометазина."
"building.farm.name","Farm","农场","Ферма"
"building.farm.desc","Basic facility for producing food.","生产食物的基础设施","Базовое сооружение для производства пищи."
"building.settlement.name","Settlement","居民点","Поселение"
"building.settlement.desc","Provides basic population for the planet.","为星球提供基础人口","Обеспечивает базовое население планеты."
"building.city.name","City","城市","Город"
"building.city.desc","Further increases population.","进一步增加人口","Еще больше увеличивает население."
"building.hive_city.name","Hive City","巢都城市","Город-улей"
"building.hive_city.desc","A huge population center.","巨大的人口聚集区","Огромный центр населения."
"building.church.name","Church","教堂","Церковь"
"building.church.desc","Spreads faith.","传播信仰","Распространяет веру."
"building.cathedral.name","Cathedral","大教堂","Собор"
"building.cathedral.desc","Advanced religious building.","高级宗教建筑","Продвинутое религиозное здание."
"building.workshop.name","Workshop","工作坊","Мастерская"
"building.workshop.desc","Produces basic components and weapons.","生产基础零件和武器","Производит базовые компоненты и оружие."
"building.factory.name","Processing Plant","加工厂","Перерабатывающий завод"
"building.factory.desc","Mass production of components.","大规模生产零件","Массовое производство компонентов."
"building.foundry.name","Foundry Factory","铸造工厂","Литейный завод"
"building.foundry.desc","Produces various complex components.","生产各种复杂零件","Производит различные сложные компоненты."
"building.armory.name","Armory","兵工厂","Оружейная"
"building.armory.desc","Mass production of weapons.","大规模生产武器","Массовое производство оружия."
"building.advanced_armory.name","Advanced Weapon Factory","高级武器工厂","Продвинутый оружейный завод"
"building.advanced_armory.desc","Produces various advanced weapons.","生产各种高级武器","Производит различное продвинутое оружие."
"building.laboratory.name","Laboratory","实验室","Лаборатория"
"building.laboratory.desc","Conducts scientific research, produces chemicals or studies xeno-tech.","进行科学研究，生产化学品或研究异形科技","Проводит научные исследования, производит химикаты или изучает ксенотехнологии."
"building.chemical_plant.name","Chemical Plant","化工厂","Химический завод"
"building.chemical_plant.desc","Performs chemical production.","进行化工生产","Осуществляет химическое производство."
"building.advanced_chemical_plant.name","Advanced Chemical Plant","高级化工厂","Продвинутый химический завод"
"building.advanced_chemical_plant.desc","Advanced chemical production.","进阶化工生产","Продвинутое химическое производство."
"building.research_institute.name","Research Institute","研究所","Исследовательский институт"
"building.research_institute.desc","Conducts more in-depth research on xeno-tech.","对异形科技进行更深入研究","Проводит более глубокие исследования ксенотехнологий."
"building.stc_research_institute.name","STC Research Institute","STC研究所","Исследовательский институт STC"
"building.stc_research_institute.desc","Studies STC technology, with a low probability of discovering new STC fragments.","研究STC技术，有低概率发现新的STC碎片","Изучает технологию STC, с низкой вероятностью обнаружения новых фрагментов STC."
"building.adamantium_mine.name","Adamantium Mine","精金矿场","Адамантиевая шахта"
"building.adamantium_mine.desc","Basic facility for extracting adamantium.","开采精金矿的基础设施","Базовое сооружение для добычи адамантия."
"building.plasteel_mine.name","Plasteel Mine","塑钢矿场","Пласталевая шахта"
"building.plasteel_mine.desc","Industrial facility for producing plasteel.","生产塑钢的工业设施","Промышленное сооружение для производства пластали."
"building.ceramite_mine.name","Ceramite Mine","陶钢矿场","Керамитовая шахта"
"building.ceramite_mine.desc","Basic building for producing ceramite.","出产陶钢的基础建筑","Базовое здание для производства керамита."
"building.promethium_refinery.name","Promethium Refinery","钷素提炼厂","Прометиевый завод"
"building.promethium_refinery.desc","Facility for refining crude oil into promethium.","将原油提炼为钷素的设施","Сооружение для переработки сырой нефти в прометий."
"building.promethazine_refinery.name","Promethazine Refinery","燃素精炼厂","Прометазиновый завод"
"building.promethazine_refinery.desc","Basic building for refining promethazine.","提炼燃素的基础建筑","Базовое здание для переработки прометазина."
"building.farm.name","Farm","农场","Ферма"
"building.farm.desc","Basic facility for producing food.","生产食物的基础设施","Базовое сооружение для производства пищи."
"building.settlement.name","Settlement","居民点","Поселение"
"building.settlement.desc","Provides basic population for the planet.","为星球提供基础人口","Обеспечивает базовое население планеты."
"building.city.name","City","城市","Город"
"building.city.desc","Further increases population.","进一步增加人口","Еще больше увеличивает население."
"building.hive_city.name","Hive City","巢都城市","Город-улей"
"building.hive_city.desc","A huge population center.","巨大的人口聚集区","Огромный центр населения."
"building.church.name","Church","教堂","Церковь"
"building.church.desc","Spreads faith and provides some population.","传播信仰，提供一定数量人口","Распространяет веру и предоставляет некоторое количество населения."
"building.cathedral.name","Cathedral","大教堂","Собор"
"building.cathedral.desc","Advanced religious building. Greatly spreads faith.","高级宗教建筑，极大地传播信仰","Продвинутое религиозное здание. Сильно распространяет веру."
"building.workshop.name","Workshop","工作坊","Мастерская"
"building.workshop.desc","Produces basic components and weapons.","生产基础零件和武器","Производит базовые компоненты и оружие."
"building.factory.name","Processing Plant","加工厂","Перерабатывающий завод"
"building.factory.desc","Mass production of components.","大规模生产零件","Массовое производство компонентов."
"building.foundry.name","Foundry Factory","铸造工厂","Литейный завод"
"building.foundry.desc","Produces various complex components.","生产各种复杂零件","Производит различные сложные компоненты."
"building.armory.name","Armory","兵工厂","Оружейная"
"building.armory.desc","Mass production of weapons.","大规模生产武器","Массовое производство оружия."
"building.advanced_armory.name","Advanced Weapon Factory","高级武器工厂","Продвинутый оружейный завод"
"building.advanced_armory.desc","Produces various advanced weapons.","生产各种高级武器","Производит различное продвинутое оружие."
"building.laboratory.name","Laboratory","实验室","Лаборатория"
"building.laboratory.name","Laboratory","实验室","Лаборатория"
"building.laboratory.desc","Conducts scientific research, produces chemicals or studies xeno-tech.","进行科学研究，生产化学品或研究异形科技","Проводит научные исследования, производит химикаты или изучает ксенотехнологии."
"building.chemical_plant.name","Chemical Plant","化工厂","Химический завод"
"building.chemical_plant.desc","Performs chemical production.","进行化工生产","Осуществляет химическое производство."
"building.advanced_chemical_plant.name","Advanced Chemical Plant","高级化工厂","Продвинутый химический завод"
"building.advanced_chemical_plant.desc","Advanced chemical production.","进阶化工生产","Продвинутое химическое производство."
"building.research_institute.name","Research Institute","研究所","Исследовательский институт"
"building.research_institute.desc","Conducts more in-depth research on xeno-tech.","对异形科技进行更深入研究","Проводит более глубокие исследования ксенотехнологий."
"building.stc_research_institute.name","STC Research Institute","STC研究所","Исследовательский институт STC"
"building.stc_research_institute.desc","Studies STC technology, with a low probability of discovering new STC fragments.","研究STC技术，有低概率发现新的STC碎片","Изучает технологию STC, с низкой вероятностью обнаружения новых фрагментов STC."
"building.orbital_defense_battery.name","Orbital Defense Battery","轨道防御炮台","Орбитальная оборонительная батарея"
"building.orbital_defense_battery.desc","Defensive facility deployed in orbit, can attack enemies in orbit.","部署在星球轨道上的防御设施，可攻击轨道上的敌人","Оборонительное сооружение, развернутое на орбите, может атаковать врагов на орбите."
"building.energy_shield.name","Energy Shield","能量护盾","Энергетический щит"
"building.energy_shield.desc","Provides an energy shield to protect the planet.","提供能量护盾，抵御敌方武器攻击","Обеспечивает энергетический щит для защиты планеты."
"building.psychic_barrier.name","Psychic Barrier","灵能防御屏障","Психический барьер"
"building.psychic_barrier.desc","A defensive barrier constructed by psychics or special materials.","由灵能者或特殊材料构建的防御屏障","Оборонительный барьер, построенный псиониками или специальными материалами."
"building.ground_fortress.name","Ground Fortress","地面堡垒","Наземная крепость"
"building.ground_fortress.desc","A sturdy ground defense facility that can deploy a small number of troops.","坚固的地面防御设施，可部署少量军队","Прочное наземное оборонительное сооружение, способное разместить небольшое количество войск."

"event.mineral_enrichment.name","Mineral Enrichment","矿脉富集","Обогащение минералов"
"event.unexpected_gain.name","Unexpected Gain","意外的收获","Неожиданный выигрыш"
"event.production_optimization.name","Production Optimization","生产线优化","Оптимизация производства"
"event.trade_opportunity.name","Trade Opportunity","贸易机会","Торговая возможность"
"event.generous_donation.name","Generous Donation","慷慨的捐赠","Щедрая пожертвование"
"event.zealous_followers.name","Zealous Followers","狂热的信徒","Ревностные последователи"
"event.missionary_arrival.name","Missionary Arrival","传教士的到来","Прибытие миссионера"
"event.heresy_emergence.name","Heresy Emergence","异端萌芽","Появление ереси"
"event.population_spike.name","Population Spike","人口激增","Популяционный скачок"
"event.plague_outbreak.name","Plague Outbreak","瘟疫爆发","Разрыв чумы"
"event.fake_tech_breakthrough.name","Fake Tech Breakthrough","技术突破（伪）","Ложный технологический прорыв"
"event.real_tech_breakthrough.name","Real Tech Breakthrough","技术突破（真）","Реальный технологический прорыв"
"event.xeno_artifact.name","Xeno Artifact","异形文物","Инопланетный артефакт"
"event.engine_maintenance.name","Engine Maintenance","引擎维护","Техническое обслуживание двигателя"
"event.crew_request.name","Crew Request","船员的请求","Запрос экипажа"
"event.star_map_update.name","Star Map Update","星图更新","Обновление звездной карты"
"event.distress_signal.name","Distress Signal","求救信号","Сигнал бедствия"
"event.gene_stealer_suspect.name","Gene Stealer Suspect","基因窃取者？","Подозрение на генетического ворователя?"
"event.warp_storm.name","Warp Storm","亚空间风暴","Вихрь варпа"
"event.machine_god_blessing.name","Machine God's Blessing","机械神教的祝福","Благословение Машиноствора"
"event.governor_birthday.name","Governor's Birthday","总督的生日","День рождения губернатора"
"event.void_whale_migration.name","Void Whale Migration","虚空鲸迁徙","Миграция пустотных китов"
"event.omega_meme.name","Omega Meme","欧米茄迷因","Омега-мим"
"event.psyker_chorus_out_of_control.name","Psyker Chorus Out of Control","灵能合唱团失控","Психический хор вышел из контроля"
"event.trade_opportunity.option_agree","Agree to trade","同意交易","Согласиться на сделку"
"event.xeno_artifact.option_dedicate","Dedicate to the Empire","献给帝国","Посвятить империи"
"event.crew_request.option_improve","Improve food","改善伙食","Улучшить питание"
"event.gene_stealer_suspect.option_investigate","Investigate","展开调查","Провести расследование"
"event.governor_birthday.option_gift1","Give gift 1","赠送礼物1","Подарить подарок 1"
"event.governor_birthday.option_gift2","Give gift 2","赠送礼物2","Подарить подарок 2"
"event.governor_birthday.option_gift3","Give gift 3","赠送礼物3","Подарить подарок 3"
"event.omega_meme.option_investigate","Investigate and clear","调查并清除","Провести расследование и очистить"
"event.trade_opportunity.phase_start_text","Captain, a trading caravan from {Race/Faction} has contacted us. They're willing to exchange {Resource A} at a rate of {Exchange Rate} for our {Resource B}. What's your decision?","长官，一支{种族/势力}的贸易商队联系了我们，他们表示愿意用{资源A}以{汇率}的价格交换我们的{资源B}，您看如何？","Капитан, торговый караван из {Раса/Фракция} связался с нами. Они готовы обменять {Ресурс A} по курсу {Обменный курс} на наш {Ресурс B}. Каково ваше решение?"
"event.trade_opportunity.phase_success_text","The trade is completed. We've obtained {Resource A} and provided {Resource B} to the caravan.","交易完成。我们获得了{资源A}，并向商队支付了{资源B}。","Торговля завершена. Мы получили {Ресурс A} и передали {Ресурс B} каравану."
"event.trade_opportunity.phase_failure_text","Sorry, sir. We don't have enough {Resource B} in stock to complete the trade.","抱歉，长官，我们的{资源B}储备不足，无法完成交易。","Извините, сэр. У нас недостаточно {Ресурс B} на складе, чтобы завершить сделку."
"event.xeno_artifact.phase_start_text","Sir, the laboratory on {Planet Name} has discovered a strange xeno artifact. They're unsure how to handle it and are requesting your instructions.","长官，{星球名称}的实验室发现了一件古怪的异形文物，他们不知道该如何处理，请求您的指示。","Сэр, лаборатория на {Название планеты} обнаружила странный инопланетный артефакт. Они не знают, как с ним справиться и просят ваших инструкций."
"event.crew_request.phase_start_text","Sir, the crew representatives have made a request. They hope to improve their living conditions...","长官，舰桥船员代表向您提出了一些请求，他们希望能改善一下生活条件……","Сэр, представители экипажа подали запрос. Они хотят улучшить свои условия жизни..."
"event.crew_request.phase_success_text","You've agreed to the crew's request and generously improved their food. The crew is very grateful.","您同意了船员的请求，慷慨地改善了他们的伙食。舰桥船员们非常感激。","Вы согласились с запросом экипажа и щедро улучшили их питание. Экипаж очень благодарен."
"event.crew_request.phase_failure_text","Sorry, sir. We don't have enough food supplies at the moment to meet the crew's request.","抱歉，长官，我们目前的食物储备不足，无法满足船员的请求。","Извините, сэр. У нас в данный момент недостаточно продовольственных запасов, чтобы удовлетворить запрос экипажа."
"event.gene_stealer_suspect.phase_start_text","Sir, there are rumors of Genestealer activity on {Planet Name}. The residents are in a panic...","长官，{星球名称}上出现了关于基因窃取者活动的传言，居民们人心惶惶……","Сэр, на {Название планеты} появляются слухи о деятельности генетических ворователей. Жители находятся в панике..."
"event.gene_stealer_suspect.phase_success_text","If successful, a small amount of xeno - tech and rare resources will be obtained, and the planet's corruption level will decrease. If failed, the planet's corruption level will further increase.","若胜利则获得少量异形科技和稀有资源，星球腐化度降低。若失败则星球腐化度进一步增加。","Если успех, то будут получены небольшие количества инопланетной технологии и редких ресурсов, и уровень коррупции на планете снизится. Если неудача, то уровень коррупции на планете еще больше увеличится."
"event.governor_birthday.phase_start_text","Sir, today is the governor's birthday on {Planet Name}. The governor's mansion has sent an invitation to the banquet...","长官，今天是{星球名称}总督的生日，总督府发来了宴会邀请……","Сэр, сегодня день рождения губернатора на {Название планеты}. губернаторский дворец отправил приглашение на банкет..."
"event.governor_birthday.phase_gift1_success_text","Your gift to the governor has made him/her very happy. The governor has ordered an increase in production efficiency to reciprocate your generosity.","您送给总督的礼物让他/她非常高兴，总督下令提高生产效率以回报您的慷慨。","Ваш подарок губернатору очень обрадовал его/ее. губернатор дал приказ повысить производственную эффективность, чтобы отблагодарить вас за щедрость."
"event.governor_birthday.phase_gift1_failure_text","Sorry, sir. We don't have enough resources at the moment to give this gift.","抱歉，长官，我们目前的资源不足，无法赠送这份礼物。","Извините, сэр. У нас в данный момент недостаточно ресурсов, чтобы подарить этот подарок."
"event.omega_meme.phase_start_text","Sir, a concept meme has started to spread among the residents of {Planet Name}. Although it makes the planet more vulnerable to corruption, it also increases the planet's productivity.","长官，{星球名称}的居民中开始流传起一种概念迷因, 这虽然会导致星球更容易受到腐化，但是也会增加星球的生产力","Сэр, концептуальный мем начал распространяться среди жителей {Название планеты}. Хотя это делает планету более уязвимой к коррупции, оно также повышает производительность планеты."
"event.omega_meme.phase_investigate_success_text","You've used your faith power to purify the planet, and the people are starting to return to normal.","你动用信仰之力净化了这个星球，人们开始恢复正常。","Вы использовали свою веровную силу, чтобы очистить планету, и люди начинают возвращаться к нормальному состоянию."
